iter	RMSE
0	5696.582998
1	4905.508048
2	4424.727937
3	4192.042063
4	4035.245552
5	3928.290415
6	3856.149958
7	3819.33023
8	3788.774744
9	3758.591573
10	3742.312388
11	3729.678896
12	3701.689126
13	3687.438411
14	3670.683853
15	3657.966192
16	3640.699716
17	3606.745969
18	3586.488441
19	3568.098348
20	3557.939671
21	3539.212397
22	3524.580062
23	3509.616977
24	3489.514884
25	3475.93509
26	3462.163617
27	3450.78583
28	3432.257637
29	3413.842649
30	3390.222275
31	3376.666708
32	3366.297264
33	3350.661515
34	3344.877281
35	3325.3539
36	3317.077342
37	3307.155523
38	3298.565697
39	3291.624622
40	3279.874557
41	3271.021171
42	3260.250855
43	3242.634586
44	3230.841714
45	3226.020697
46	3223.367742
47	3216.395395
48	3212.188949
49	3194.737604
50	3187.590552
51	3176.386451
52	3166.043926
53	3151.817647
54	3147.144054
55	3138.241311
56	3136.724919
57	3132.88058
58	3127.54026
59	3116.009058
60	3113.212168
61	3110.870289
62	3105.614654
63	3102.730544
64	3094.806873
65	3081.234433
66	3075.097383
67	3071.512333
68	3061.472992
69	3051.787142
70	3042.580248
71	3040.503438
72	3031.21127
73	3019.274716
74	3008.236147
75	2998.243363
76	2993.247456
77	2988.619737
78	2981.483988
79	2971.387899
80	2970.095763
81	2964.362147
82	2950.91334
83	2943.524465
84	2940.54858
85	2938.06376
86	2931.316339
87	2919.659596
88	2912.922719
89	2903.559934
90	2902.265553
91	2901.300191
92	2895.929344
93	2894.703467
94	2885.034158
95	2882.967836
96	2870.071911
97	2863.153851
98	2856.895927
99	2853.956621
