iter	Passed	Remaining
0	52	5204
1	56	2755
2	60	1958
3	62	1505
4	65	1236
5	68	1072
6	70	939
7	73	839
8	75	760
9	77	698
10	79	645
11	81	600
12	84	564
13	86	531
14	89	506
15	91	480
16	93	457
17	95	436
18	104	445
19	106	427
20	109	410
21	111	395
22	113	381
23	116	367
24	119	357
25	121	347
26	124	335
27	126	326
28	129	316
29	131	306
30	150	335
31	167	355
32	171	348
33	181	352
34	184	342
35	187	332
36	189	322
37	191	312
38	194	303
39	196	294
40	199	286
41	201	278
42	203	270
43	205	262
44	208	254
45	214	252
46	217	244
47	219	238
48	222	231
49	224	224
50	227	218
51	230	212
52	232	206
53	249	212
54	252	206
55	254	199
56	256	193
57	259	187
58	261	181
59	264	176
60	266	170
61	269	164
62	271	159
63	273	154
64	276	148
65	278	143
66	280	138
67	282	133
68	285	128
69	287	123
70	289	118
71	291	113
72	295	109
73	297	104
74	310	103
75	313	99
76	315	94
77	318	89
78	320	85
79	323	80
80	325	76
81	348	76
82	350	71
83	353	67
84	355	62
85	357	58
86	359	53
87	363	49
88	366	45
89	376	41
90	379	37
91	382	33
92	389	29
93	391	24
94	394	20
95	396	16
96	398	12
97	401	8
98	416	4
99	431	0
