iter	RMSE
0	0.3315084706
1	0.3236616737
2	0.3167090603
3	0.311560671
4	0.307774073
5	0.3035866381
6	0.299476249
7	0.2964307859
8	0.293190569
9	0.291612496
10	0.289093282
11	0.2867706829
12	0.2835740417
13	0.2818747562
14	0.2793109249
15	0.2773279723
16	0.2741976267
17	0.271815239
18	0.2706002726
19	0.2687160983
20	0.2678683364
21	0.2654810915
22	0.2636073507
23	0.2620445614
24	0.259897166
25	0.2578657411
26	0.2563002786
27	0.2538159287
28	0.2519811758
29	0.2500275019
30	0.2473521781
31	0.2459158288
32	0.2440899471
33	0.24163294
34	0.2401568333
35	0.2378722165
36	0.236510505
37	0.2352151507
38	0.2333895293
39	0.2326032184
40	0.2297171462
41	0.2283615081
42	0.2272478433
43	0.2257343325
44	0.2235953828
45	0.2227470524
46	0.2215787076
47	0.2205115188
48	0.2187961787
49	0.2175100347
50	0.215767578
51	0.2148104501
52	0.213010595
53	0.2108683871
54	0.2093435034
55	0.2082594957
56	0.2063177362
57	0.2049364472
58	0.204046959
59	0.2027260653
60	0.2015735037
61	0.2004014645
62	0.1989729323
63	0.1981909678
64	0.1976272699
65	0.1956948656
66	0.1941596469
67	0.1932882346
68	0.1920683171
69	0.1909620242
70	0.1903255671
71	0.1889843598
72	0.1882458464
73	0.1872491576
74	0.1862774648
75	0.1856491575
76	0.184400358
77	0.1835571752
78	0.1822048062
79	0.1816201274
80	0.1810623525
81	0.1801546397
82	0.1787900224
83	0.1786092019
84	0.1775735339
85	0.1766610817
86	0.176016646
87	0.1751904256
88	0.1741276572
89	0.1727796022
90	0.172212824
91	0.1714748622
92	0.1705680279
93	0.1698385137
94	0.1693691372
95	0.1681184301
96	0.1674514703
97	0.1666192051
98	0.1659411003
99	0.1648751725
