iter	Passed	Remaining
0	3	331
1	5	271
2	7	248
3	9	234
4	11	224
5	13	215
6	15	211
7	18	208
8	20	203
9	22	199
10	24	196
11	26	193
12	28	190
13	30	188
14	33	187
15	35	183
16	37	182
17	39	179
18	41	176
19	43	174
20	45	172
21	47	169
22	49	166
23	51	164
24	53	161
25	55	159
26	58	157
27	60	155
28	62	153
29	64	151
30	67	149
31	69	146
32	71	144
33	73	143
34	75	141
35	78	138
36	80	137
37	84	137
38	86	135
39	88	132
40	90	130
41	92	128
42	94	125
43	97	123
44	99	121
45	101	119
46	103	117
47	105	114
48	108	112
49	110	110
50	112	108
51	115	106
52	117	104
53	120	102
54	122	100
55	125	98
56	128	96
57	131	94
58	133	92
59	136	90
60	139	89
61	141	86
62	143	84
63	147	82
64	150	80
65	152	78
66	155	76
67	157	74
68	160	72
69	163	69
70	165	67
71	168	65
72	171	63
73	173	61
74	175	58
75	178	56
76	180	53
77	182	51
78	185	49
79	187	46
80	190	44
81	192	42
82	195	40
83	197	37
84	200	35
85	202	33
86	205	30
87	208	28
88	210	26
89	213	23
90	216	21
91	219	19
92	221	16
93	224	14
94	226	11
95	229	9
96	231	7
97	233	4
98	236	2
99	238	0
